"Activity","Applicant","Year","Allocation","Value"
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2010,210421,3699201.18
"Burnt lime","Graymont (NZ) Limited",2010,47144,828791.52
"Burnt lime","Holcim (New Zealand) Limited",2010,3653,64219.74
"Burnt lime","Perry Resources (2008) Ltd",2010,4712,82836.96
"Burnt lime","Websters Hydrated Lime Company Limited",2010,948,16665.84
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2010,93275,1639774.5
"Carbon steel from cold ferrous feed","Fletcher Steel Limited",2010,16818,295660.44
"Carbon steel from cold ferrous feed","KiwiRail Limited",2010,34,597.72
"Cartonboard","Whakatane Mill Limited",2010,39164,688503.12
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2010,4958,87161.64
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2010,122925,2161021.5
"Cementitious products","Holcim (New Zealand) Limited",2010,87879,1544912.82
"Clay bricks and field tiles","Clay Bricks Ltd",2010,143,2513.94
"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",2010,1071,18828.18
"Clay bricks and field tiles","Marton Brick & Tile Co Limited",2010,35,615.3
"Clay bricks and field tiles","Southtile Limited",2010,43,755.94
"Cut roses","Avis Maree Zwart, Wilhelmus Jacobus Maria Zwart",2010,32,562.56
"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",2010,45,791.1
"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",2010,11,193.38
"Cut roses","Franko Roses New Zealand Limited",2010,66,1160.28
"Cut roses","Hsun-Yao Chuang",2010,10,175.8
"Cut roses","Jeffrey Guy Ward",2010,52,914.16
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",2010,13,228.54
"Cut roses","K & L Nurseries Limited",2010,123,2162.34
"Cut roses","Moffatts Flower Company Limited",2010,374,6574.92
"Cut roses","Riverland Holdings Limited",2010,251,4412.58
"Cut roses","Robyn Ann Ogden-Robb, Trevor Charles Robb",2010,39,685.62
"Cut roses","Royal Roses Limited",2010,12,210.96
"Cut roses","Shipherd Nurseries Limited",2010,340,5977.2
"Cut roses","Van Berlo Limited",2010,73,1283.34
"Cut roses","Van Lier Nurseries Ltd",2010,373,6557.34
"Ethanol","Anchor Ethanol Limited",2010,3654,64237.32
"Fresh capsicums","Appleby Fresh Limited",2010,49,861.42
"Fresh capsicums","Buller Supplies Limited",2010,5,87.9
"Fresh capsicums","Flat-Tac Capsicums Limited",2010,61,1072.38
"Fresh capsicums","Gourmet Mokai Limited",2010,650,11427
"Fresh capsicums","Gourmet Paprika Limited",2010,1789,31450.62
"Fresh capsicums","Harbour Head Growers Limited",2010,47,826.26
"Fresh capsicums","Homestead Produce Ltd",2010,270,4746.6
"Fresh capsicums","J.S.Ewers Ltd",2010,280,4922.4
"Fresh capsicums","Kipps' Patch Limited",2010,10,175.8
"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",2010,19,334.02
"Fresh capsicums","Poppas Peppers 2009 Limited",2010,69,1213.02
"Fresh capsicums","Sinai Hort Limited",2010,149,2619.42
"Fresh capsicums","Southern Paprika Limited",2010,2148,37761.84
"Fresh capsicums","Under Glass (Bombay) Ltd",2010,61,1072.38
"Fresh capsicums","Under Glass (Karaka) Limited",2010,229,4025.82
"Fresh capsicums","Whakatane Growers Limited",2010,361,6346.38
"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",2010,168,2953.44
"Fresh cucumbers","Bin Wang, YING ZHOU",2010,28,492.24
"Fresh cucumbers","Exception Limited",2010,781,13729.98
"Fresh cucumbers","Green Harvest Growing Ltd.",2010,168,2953.44
"Fresh cucumbers","Hanna Hothouses Ltd",2010,86,1511.88
"Fresh cucumbers","Hedger Greenhouse Limited",2010,26,457.08
"Fresh cucumbers","Hope Hot House Ltd",2010,28,492.24
"Fresh cucumbers","Island Horticulture Limited",2010,369,6487.02
"Fresh cucumbers","J.S.Ewers Ltd",2010,203,3568.74
"Fresh cucumbers","Karaka Park Produce Limited",2010,197,3463.26
"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",2010,12,210.96
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2010,444,7805.52
"Fresh cucumbers","Parkgard Growers 2000 Limited",2010,22,386.76
"Fresh cucumbers","QUALITY FOOD PROCESSORS LTD",2010,95,1670.1
"Fresh cucumbers","Under Glass (Bombay) Ltd",2010,774,13606.92
"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",2010,1,17.58
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2010,41,720.78
"Fresh tomatoes","Avis Maree Zwart, Wilhelmus Jacobus Maria Zwart",2010,28,492.24
"Fresh tomatoes","Castle Rock Orchard Ltd",2010,174,3058.92
"Fresh tomatoes","Dale Calderwood Frost, Elizabeth Kay Frost",2010,9,158.22
"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",2010,7,123.06
"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",2010,19,334.02
"Fresh tomatoes","Douglas Eric Bone, Jacqueline Anne Duffy",2010,4,70.32
"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",2010,29,509.82
"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",2010,98,1722.84
"Fresh tomatoes","Faye Elizabeth Ormandy, Graeme Jaxon Ormandy",2010,29,509.82
"Fresh tomatoes","Gordon Edward Hackett",2010,4,70.32
"Fresh tomatoes","Gourmet Mokai Limited",2010,443,7787.94
"Fresh tomatoes","Great Lake Tomatoes Limited",2010,1038,18248.04
"Fresh tomatoes","GREENTOP COMPANY LIMITED",2010,18,316.44
"Fresh tomatoes","Han Jeon Kang, Jae Rang Kang",2010,19,334.02
"Fresh tomatoes","Hanna Hothouses Ltd",2010,146,2566.68
"Fresh tomatoes","Helen Joy Petrie, Kevin Francis Petrie",2010,157,2760.06
"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",2010,22,386.76
"Fresh tomatoes","IL KYU AHN",2010,9,158.22
"Fresh tomatoes","J.S.Ewers Ltd",2010,1117,19636.86
"Fresh tomatoes","Ji-Im Park, Won Ha Park",2010,28,492.24
"Fresh tomatoes","Karamea Tomatoes Limited",2010,146,2566.68
"Fresh tomatoes","Kingbridge Ltd",2010,19,334.02
"Fresh tomatoes","Kyung Duk Hwang, Myeong Ho Lee",2010,15,263.7
"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",2010,22,386.76
"Fresh tomatoes","Little Knoll Greenhouses Ltd",2010,134,2355.72
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2010,41,720.78
"Fresh tomatoes","Mengye Investments Ltd.",2010,14,246.12
"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",2010,143,2513.94
"Fresh tomatoes","NAGRA BROTHERS LIMITED",2010,31,544.98
"Fresh tomatoes","New Zealand Fresh Floria Limited",2010,20,351.6
"Fresh tomatoes","Nortonta Limited",2010,245,4307.1
"Fresh tomatoes","Parkgard Growers 2000 Limited",2010,23,404.34
"Fresh tomatoes","Pomoana Gardens Limited",2010,47,826.26
"Fresh tomatoes","Rembrandt van Rijen Limited",2010,694,12200.52
"Fresh tomatoes","Status Produce Limited",2010,3451,60668.58
"Fresh tomatoes","Tiny Toms Limited",2010,27,474.66
"Fresh tomatoes","Under Glass (Bombay) Ltd",2010,975,17140.5
"Fresh tomatoes","Under Glass (Karaka) Limited",2010,1333,23434.14
"Fresh tomatoes","Vege Fresh Growers Limited",2010,73,1283.34
"Gelatine","GELITA NZ Ltd",2010,1531,26914.98
"Glass containers","ACI OPERATIONS NZ LIMITED",2010,14454,254101.32
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2010,5920,104073.6
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2010,494704,8696896.32
"Lactose","Fonterra Ltd",2010,13418,235888.44
"Market pulp","Oji Fibre Solutions (NZ) Limited",2010,78896,1386991.68
"Market pulp","Pan Pac Forest Products Limited",2010,60593,1065224.94
"Market pulp","Winstone Pulp International Limited",2010,42254,742825.32
"Methanol","Methanex New Zealand Ltd",2010,143074,2515240.92
"Newsprint","Norske Skog Tasman Ltd",2010,122826,2159281.08
"Packaging and industrial paper","Carter Holt Harvey Ltd",2010,10413,183060.54
