Year,Name,Activity,Allocation
2017,New Zealand Aluminium Smelters Limited,Aluminium Smelting,1038914
2017,Graymont (NZ) Limited,Burnt Lime,146759
2017,Websters Hydrated Lime Company Limited,Burnt Lime,5297
2017,Ballance Agri-Nutrients (Kapuni) Limited,Carbamide (urea),249061
2017,Whakatane Mill Limited,Cartonboard,113957
2017,Oji Fibre Solutions (NZ) Limited,Caustic soda,12090
2017,Fletcher Concrete and Infrastructure Limited,Cementitious products,495683
2017,Moffatts Flower Company Limited,Cut Roses,963
2017,"Paul Gregory Whitehead, John Hamilton Charles Falloon",Cut Roses,60
2017,Royal Roses Limited,Cut Roses,48
2017,Shipherd Nurseries Limited,Cut Roses,1472
2017,Van Berlo Limited,Cut Roses,191
2017,Van Lier Nurseries Limited,Cut Roses,944
2017,Anchor Ethanol Ltd,Ethanol,6981
2017,Appleby Fresh Limited,Fresh Capsicums,19
2017,Gourmet Mokai Limited,Fresh Capsicums,2321
2017,Gourmet Paprika Limited,Fresh Capsicums,4208
2017,Gourmet Waiuku Limited,Fresh Capsicums,1939
2017,Homestead Produce Limited,Fresh Capsicums,617
2017,J.S. Ewers Limited,Fresh Capsicums,844
2017,Poppas Peppers 2009 Limited,Fresh Capsicums,278
2017,Sinai Hort Limited,Fresh Capsicums,466
2017,Southern Paprika Limited,Fresh Capsicums,8370
2017,Taaza Green Limited,Fresh Capsicums,239
2017,Whakatane Growers Limited,Fresh Capsicums,1075
2017,Exception Limited,Fresh Cucumbers,6224
2017,Jai Shankar Growers Limited,Fresh Cucumbers,414
2017,Karaka Park Produce Limited,Fresh Cucumbers,879
2017,Parkgard Growers 2000 Limited,Fresh Cucumbers,90
2017,R K & M D Sharma,Fresh Cucumbers,1066
2017,Sharma Produce Limited,Fresh Cucumbers,1911
2017,Under Glass (Bombay) Limited,Fresh Cucumbers,1963
2017,Castle Rock Orchard Limited,Fresh Tomatoes,466
2017,F and B Abma,Fresh Tomatoes,203
2017,Gourmet Mokai Limited,Fresh Tomatoes,2823
2017,J.S. Ewers Limited,Fresh Tomatoes,3828
2017,Jai Shankar Growers Limited,Fresh Tomatoes,203
2017,"Joanne Elizabeth Gould Ivicevich, Antone James Ivicevich",Fresh Tomatoes,195
2017,Karamea Tomatoes Limited,Fresh Tomatoes,464
2017,Kingbridge Limited,Fresh Tomatoes,57
2017,New Zealand Fresh Floria Limited,Fresh Tomatoes,37
2017,Nortonta Limited,Fresh Tomatoes,293
2017,P H Kinzett Limited,Fresh Tomatoes,1101
2017,P J & M J Fausett Partnership,Fresh Tomatoes,115
2017,Parkgard Growers 2000 Limited,Fresh Tomatoes,63
2017,Pomoana Gardens Limited,Fresh Tomatoes,158
2017,Reupena Kovati & Eseta Kovati,Fresh Tomatoes,49
2017,Status Produce Limited,Fresh Tomatoes,12703
2017,Tiny Toms Limited,Fresh Tomatoes,83
2017,Under Glass (Bombay) Limited,Fresh Tomatoes,2861
2017,Under Glass (Karaka) Limited,Fresh Tomatoes,5698
2017,Vege Fresh Growers Limited,Fresh Tomatoes,559
2017,GELITA NZ Limited,Gelatine,3990
2017,ACI Operations NZ Limited,Glass Containers,47112
2017,Evonik Peroxide Limited,Hydrogen Peroxide,15204
2017,New Zealand Steel Development Limited,Iron and Steel from Iron   Sand,1432496
2017,Pacific Steel (NZ) Limited,Iron and Steel from Iron   Sand,18757
2017,Fonterra Limited,Lactose,39574
2017,Ojj Fibre Solutions (NZ) Limited,Market Pulp,198546
2017,Pan Pac Forest Products Limited,Market Pulp,173440
2017,Winstone Pulp International Limited,Market Pulp,122701
2017,Methanex New Zealand Limited,Methanol,918041
2017,Norske Skog Tasman Limited,Newsprint,161133
2017,Oji Fibre Solutions (NZ) Limited,Packaging and industrial   paper,182091
2017,Affco New Zealand Limited,Protein Meal,8035
2017,Alliance Group Limited,Protein Meal,8075
2017,Blue Sky Meats (N.Z.) Limited,Protein Meal,544
2017,CMP Canterbury Limited,Protein Meal,3873
2017,Farm Brands Limited,Protein Meal,3956
2017,Graeme Lowe Proteins Limited,Protein Meal,180
2017,Hawkes Bay Protein Limited,Protein Meal,4320
2017,Kakariki Proteins Limited,Protein Meal,1131
2017,Keep it Clean Limited,Protein Meal,1524
2017,Prime Range Meats Limited,Protein Meal,425
2017,PVL Proteins Limited,Protein Meal,3129
2017,Taranaki By-Products Limited,Protein Meal,12140
2017,Taylor Preston Limited,Protein Meal,1139
2017,Tegel Foods Limited,Protein Meal,1234
2017,Tuakau Proteins Limited,Protein Meal,8965
2017,Value Proteins Limited,Protein Meal,1236
2017,Wallace Corporation Limited,Protein Meal,11767
2017,Wallace Group Limited Partnership,Protein Meal,1749
2017,Daiken New Zealand Limited,Reconstituted Wood Panels,13623
2017,Dongwha New Zealand Limited,Reconstituted Wood Panels,13021
2017,Fletcher Building Products Limited,Reconstituted Wood Panels,2713
2017,Juken New Zealand Limited,Reconstituted Wood Panels,4835
2017,Nelson Pine Industries Limited,Reconstituted Wood Panels,21351
2017,Asaleo Care New Zealand Limited,Tissue Paper,22986
2017,Fonterra Limited,Whey Powder,4077
