"Year","Applicants.Name","Activity","Final.Unit.Entitlement"
2014,"New Zealand Aluminium Smelters Limited","Aluminium smelting",755987
2014,"Holcim (New Zealand) Limited","Burnt lime",9449
2014,"McDonald's Lime Limited","Burnt lime",128973
2014,"Perry Lime Limited","Burnt lime",976
2014,"Websters Hydrated Lime Company Limited","Burnt lime",3169
2014,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide",198469
2014,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",50488
2014,"Pacific Steel (NZ) Limited","Carbon steel from cold ferrous feed",9342
2014,"Whakatane Mill Limited","Cartonboard",79866
2014,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",9474
2014,"Fletcher Concrete and Infrastructure Limited","Cementitious products",322430
2014,"Holcim (New Zealand) Limited","Cementitious products",183263
2014,"CSR Building Products (NZ) Ltd","Clay bricks and field tiles",2418
2014,"Franko Roses New Zealand Limited","Cut roses",57
2014,"Moffatts Flower Company Limited","Cut roses",884
2014,"Paul Gregory Whitehead, John Hamilton Charles Falloon","Cut roses",45
2014,"Riverland Nurseries Limited","Cut roses",378
2014,"Royal Roses Limited","Cut roses",42
2014,"S & D Stocks","Cut roses",53
2014,"Shipherd Nurseries Limited","Cut roses",939
2014,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",20
2014,"Van Lier Nurseries Limited","Cut roses",577
2014,"Van Berlo Limited","Cut roses",158
2014,"Anchor Ethanol Limited","Ethanol",6191
2014,"Flat-Tac Capsicums Limited","Fresh capsicums",162
2014,"Gourmet Mokai Limited","Fresh capsicums",1875
2014,"Gourmet Paprika Limited","Fresh capsicums",3300
2014,"Gourmet Waiuku Limited","Fresh capsicums",1308
2014,"Harbour Head Growers Limited","Fresh capsicums",138
2014,"Homestead Produce Limited","Fresh capsicums",643
2014,"J.S. Ewers Limited","Fresh capsicums",613
2014,"M & T Matthews Partnership","Fresh capsicums",21
2014,"Poppas Peppers 2009 Limited","Fresh capsicums",240
2014,"Sinai Hort Limited","Fresh capsicums",377
2014,"Southern Paprika Limited","Fresh capsicums",6351
2014,"Taaza Green Limited","Fresh capsicums",76
2014,"Under Glass (Bombay) Limited","Fresh capsicums",884
2014,"Whakatane Growers Limited","Fresh capsicums",872
2014,"Exception Limited","Fresh cucumbers",3018
2014,"Hanna Hothouses Limited","Fresh cucumbers",207
2014,"Island Horticulture Limited","Fresh cucumbers",759
2014,"Karaka Park Produce Limited","Fresh cucumbers",529
2014,"M & T Matthews Partnership","Fresh cucumbers",22
2014,"R K & M D Sharma","Fresh cucumbers",1423
2014,"Sharma Produce Limited","Fresh cucumbers",540
2014,"Under Glass (Bombay) Limited","Fresh cucumbers",1587
2014,"A J & J E Ivicevich","Fresh tomatoes",147
2014,"Castle Rock Orchard Limited","Fresh tomatoes",316
2014,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh tomatoes",15
2014,"Gourmet Mokai Limited","Fresh tomatoes",1907
2014,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",6
2014,"Great Lake Tomatoes Limited","Fresh tomatoes",2349
2014,"Hanna Hothouses Limited","Fresh tomatoes",638
2014,"J.S. Ewers Limited","Fresh tomatoes",2775
2014,"Karamea Tomatoes Limited","Fresh tomatoes",165
2014,"Kingbridge Limited","Fresh tomatoes",67
2014,"Lee Wang Hothouse Limited","Fresh tomatoes",40
2014,"Lycopene Fresh Vegefruit Ltd","Fresh tomatoes",31
2014,"MA & AM & EM Sanders Partnership","Fresh tomatoes",254
2014,"New Zealand Fresh Floria Limited","Fresh tomatoes",48
2014,"Nortonta Limited","Fresh tomatoes",440
2014,"P H Kinzett Limited","Fresh tomatoes",884
2014,"P J & M J Fausett Partnership","Fresh tomatoes",96
2014,"Pomoana Gardens Limited","Fresh tomatoes",141
2014,"Status Produce Limited","Fresh tomatoes",6924
2014,"Rembrandt van Rijen Limited","Fresh tomatoes",1423
2014,"Reupena Kovati & Eseta Kovati","Fresh tomatoes",28
2014,"TA & DM Turner","Fresh tomatoes",20
2014,"Tiny Toms Limited","Fresh tomatoes",62
2014,"Under Glass (Bombay) Limited","Fresh tomatoes",1178
2014,"Under Glass (Karaka) Limited","Fresh tomatoes",4314
2014,"Vege Fresh Growers Limited","Fresh tomatoes",365
2014,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",37
2014,"Won Ha Park and Ji-Im Park","Fresh tomatoes",34
2014,"GELITA NZ Limited","Gelatine",2917
2014,"ACI Operations New Zealand Limited","Glass containers",35515
2014,"Evonik Peroxide Limited","Hydrogen peroxide",11212
2014,"New Zealand Steel Development Limited","Iron and steel from iron sand",1073489
2014,"Fonterra Limited","Lactose",26109
2014,"Carter Holt Harvey Pulp & Paper Limited","Market pulp",147321
2014,"Pan Pac Forest Products Limited","Market pulp",122535
2014,"Winstone Pulp International Limited","Market pulp",87006
2014,"Methanex New Zealand Limited","Methanol",777432
2014,"Norske Skog Tasman Limited","Newsprint",124989
2014,"Carter Holt Harvey Limited","Packaging and industrial paper",19647
2014,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",124614
2014,"AFFCO New Zealand Limited","Protein meal",6639
2014,"Alliance Group Limited","Protein meal",6305
2014,"Blue Sky Meats (N.Z.) Limited","Protein meal",427
2014,"CMP Canterbury Limited","Protein meal",5407
2014,"Graeme Lowe Protein Limited","Protein meal",5752
2014,"Hawkes Bay Protein Limited","Protein meal",2915
2014,"Kakariki Proteins Limited","Protein meal",1056
2014,"Keep It Clean Limited","Protein meal",2092
2014,"Prime Range Meats Limited","Protein meal",65
2014,"PVL Proteins Limited","Protein meal",2010
2014,"Silver Fern Farms Limited","Protein meal",4343
2014,"Taranaki By Products Limited","Protein meal",8501
2014,"Taylor Preston Limited","Protein meal",1193
2014,"Tegel Foods Limited","Protein meal",927
2014,"Value Proteins Limited","Protein meal",1182
2014,"Wallace Corporation Limited","Protein meal",8016
2014,"Carter Holt Harvey Limited","Reconstituted wood panels",734
2014,"Daiken New Zealand Limited","Reconstituted wood panels",9093
2014,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8673
2014,"Fletcher Building Products Limited","Reconstituted wood panels",1816
2014,"Juken New Zealand Limited","Reconstituted wood panels",4196
2014,"Nelson Pine Industries Limited","Reconstituted wood panels",14748
2014,"Asaleo Care New Zealand Limited","Tissue paper",18064
2014,"Fonterra Limited","Whey powder",830
