Year,Applicants.Name,Activity,Final.Unit.Entitlement
2015,"New Zealand Aluminium Smelters Limited","Aluminium Smelting",772706
2015,"Graymont (NZ) Limited (formerly McDonald's Lime Limited)","Burnt lime",152951
2015,"Websters Hydrated Lime Company Limited","Burnt lime",3089
2015,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide (urea)",173906
2015,"Pacific Steel (NZ) Limited","Carbon steel from cold fe",13271
2015,"Whakatane Mill Limited",Cartonboard,79585
2015,"Oji Fibre Solutions (NZ) Limited (formerly Carter Holt Harvey Pulp & Paper 
Limited)","Caustic soda",9927
2015,"Fletcher Concrete and Infrastructure Limited","Cementitious products",325532
2015,"Holcim (New Zealand) Limited","Cementitious products",184794
2015,"CSR Building Products (NZ) Ltd","Clay bricks and field til",1563
2015,"Moffatts Flower Company Limited","Cut roses",920
2015,"Paul Gregory Whitehead,  John Hamilton Falloon","Cut roses",45
2015,"Riverland Holdings Limited (formerly Riverland Nurseries Limited)","Cut roses",453
2015,"Royal Roses Limited","Cut roses",45
2015,"Shipherd Nurseries Limited","Cut roses",1054
2015,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",20
2015,"Van Berlo Limited","Cut roses",128
2015,"Van Lier Nurseries Limited","Cut roses",547
2015,"Anchor Ethanol Limited",Ethanol,7582
2015,"Appleby Fresh Limited","Fresh capsicums",34
2015,"Gourmet Mokai Limited","Fresh capsicums",1807
2015,"Gourmet Paprika Limited","Fresh capsicums",3561
2015,"Gourmet Waiuku Limited","Fresh capsicums",1566
2015,"Harbour Head Growers Limited","Fresh capsicums",156
2015,"Homestead Produce Limited","Fresh capsicums",589
2015,"J.S. Ewers Limited","Fresh capsicums",708
2015,"M & T Matthews Partnership","Fresh capsicums",9
2015,"Poppas Peppers 2009 Limited","Fresh capsicums",217
2015,"Sinai Hort Limited","Fresh capsicums",377
2015,"Southern Paprika Limited","Fresh capsicums",7269
2015,"Taaza Green Limited","Fresh capsicums",177
2015,"Under Glass (Bombay) Limited","Fresh capsicums",357
2015,"Whakatane Growers Limited","Fresh capsicums",804
2015,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",429
2015,"B Singh & P K Singh","Fresh cucumbers",771
2015,"Exception Limited","Fresh cucumbers",4122
2015,"Hanna Hothouses Limited","Fresh cucumbers",114
2015,"Island Horticulture Limited","Fresh cucumbers",817
2015,"Jai Shankar Growers Limited","Fresh cucumbers",310
2015,"Karaka Park Produce Limited","Fresh cucumbers",543
2015,"M & T Matthews Partnership","Fresh cucumbers",72
2015,"Parkgard Growers 2000 Limited","Fresh cucumbers",61
2015,"R K & M D Sharma","Fresh cucumbers",1163
2015,"Sharma Produce Limited","Fresh cucumbers",1089
2015,"Under Glass (Bombay) Limited","Fresh cucumbers",1144
2015,"A J & J E Ivicevich","Fresh tomatoes",133
2015,"Castle Rock Orchard Limited","Fresh tomatoes",367
2015,"F and B Abma","Fresh tomatoes",159
2015,"Gourmet Mokai Limited","Fresh tomatoes",2130
2015,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",5
2015,"Great Lake Tomatoes Limited","Fresh tomatoes",2379
2015,"Hanna Hothouses Limited","Fresh tomatoes",162
2015,"J.S. Ewers Limited","Fresh tomatoes",2916
2015,"Jai Shankar Growers Limited","Fresh tomatoes",156
2015,"Karamea Tomatoes Limited","Fresh tomatoes",312
2015,"Kingbridge Limited","Fresh tomatoes",48
2015,"Lycopene Fresh Vegefruit Ltd","Fresh tomatoes",26
2015,"MA & AM & EM Sanders Partnership","Fresh tomatoes",257
2015,"New Zealand Fresh Floria Limited","Fresh tomatoes",39
2015,"Nortonta Limited","Fresh tomatoes",450
2015,"P H Kinzett Limited","Fresh tomatoes",841
2015,"P J & M J Fausett Partnership","Fresh tomatoes",82
2015,"Parkgard Growers 2000 Limited","Fresh tomatoes",37
2015,"Pomoana Gardens Limited","Fresh tomatoes",135
2015,"Rembrandt van Rijen Limited","Fresh tomatoes",1308
2015,"Reupena Kovati & Eseta Kovati","Fresh tomatoes",32
2015,"Status Produce Limited","Fresh tomatoes",6512
2015,"Tiny Toms Limited","Fresh tomatoes",62
2015,"Under Glass (Bombay) Limited","Fresh tomatoes",2397
2015,"Under Glass (Karaka) Limited","Fresh tomatoes",4198
2015,"Vege Fresh Growers Limited","Fresh tomatoes",332
2015,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",34
2015,"GELITA NZ Limited",Gelatine,3038
2015,"ACI Operations NZ Limited","Glass containers",35333
2015,"Evonik Peroxide Limited","Hydrogen peroxide",11671
2015,"New Zealand Steel Development Limited","Iron and steel from iron",1067501
2015,"Fonterra Limited",Lactose,29515
2015,"Oji Fibre Solutions (NZ) Limited (formerly Carter Holt Harvey Pulp & Paper 
Limited)","Market pulp",148311
2015,"Pan Pac Forest Products Limited","Market pulp",121292
2015,"Winstone Pulp International Limited","Market pulp",91785
2015,"Methanex New Zealand Limited",Methanol,655851
2015,"Norske Skog Tasman Limited",Newsprint,122825
2015,"Oji Fibre Solutions (NZ) Limited (formerly Carter Holt Harvey Pulp & Paper 
Limited)","Packaging and industrial",143262
2015,"AFFCO New Zealand Limited","Protein meal",8305
2015,"Alliance Group Limited","Protein meal",6873
2015,"Blue Sky Meats (NZ) Limited","Protein meal",461
2015,"CMP Canterbury Limited","Protein meal",4334
2015,"Farm Brands Limited","Protein meal",4473
2015,"Graeme Lowe Protein Limited","Protein meal",204
2015,"Hawkes Bay Protein Limited","Protein meal",3226
2015,"Kakariki Proteins Limited","Protein meal",713
2015,"Keep It Clean Limited","Protein meal",2255
2015,"Prime Range Meats Limited","Protein meal",273
2015,"PVL Proteins Limited","Protein meal",2299
2015,"Silver Fern Farms Limited","Protein meal",2209
2015,"Taranaki By Products Limited","Protein meal",9582
2015,"Taylor Preston Limited","Protein meal",1350
2015,"Tegel Foods Limited","Protein meal",864
2015,"Value Proteins Limited","Protein meal",954
2015,"Wallace Corporation Limited","Protein meal",9249
2015,"Carter Holt Harvey Limited","Reconstituted wood panels",477
2015,"Daiken New Zealand Limited","Reconstituted wood panels",10277
2015,"Dongwha New Zealand Limited","Reconstituted wood panels",8850
2015,"Fletcher Building Products Limited","Reconstituted wood panels",1856
2015,"Juken New Zealand Limited","Reconstituted wood panels",3755
2015,"Nelson Pine Industries Limited","Reconstituted wood panels",15269
2015,"Asaleo Care New Zealand Limited","Tissue paper",17061
2015,"Fonterra Limited","Whey powder",1802
