"Year","Units","Mayunitprice","Unitvalue","Baseline","Production"
2010,210421,17.58,3699201.18,2.645,79554.2533081286
2011,437681,19.84,8683591.04,2.726,160557.960381511
2012,301244,6.23,1876750.12,2.062,146093.113482056
2013,1524172,1.94,2956893.68,10.441,145979.503878939
2014,755987,4.08,3084426.96,5.136,147193.730529595
2015,772706,5.34,4126250.04,5.152,149981.754658385
2016,786306,14.63,11503656.78,5.16,152384.88372093
2017,1038914,16.96,17619981.44,5.142,202044.729677168
2018,1324556,21.28,28186551.68,5.184,255508.487654321
2019,1697437,25.29,42928181.73,5.366,316331.90458442
2020,1558268,24.84,38707377.12,5.194,300013.092029265
2021,628561,37.14,23344755.54,2.12,296491.037735849
2022,605320,76.55,46337246,2.048,295566.40625
