"Year","Name","Activity","Allocation","Value"
2010,"New Zealand Aluminium Smelters Limited","Aluminium smelting",210421,3699201.18
2010,"Holcim (New Zealand) Limited","Burnt lime",3653,64219.74
2010,"McDonald’s Lime Limited","Burnt lime",47144,828791.52
2010,"Perry Resources (2008) Limited","Burnt lime",4712,82836.96
2010,"Websters Hydrated Lime Company Limited","Burnt lime",1848,32487.84
2010,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide",93275,1639774.5
2010,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",16818,295660.44
2010,"KiwiRail Limited","Carbon steel from cold ferrous feed",34,597.72
2010,"Whakatane Mill Limited","Cartonboard",39164,688503.12
2010,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",4958,87161.64
2010,"Fletcher Concrete and Infrastructure Limited","Cementitious products",122925,2161021.5
2010,"Holcim (New Zealand) Limited","Cementitious products",87879,1544912.82
2010,"Clay Bricks Limited","Clay bricks and field tiles",143,2513.94
2010,"CSR Building Products (NZ) Limited","Clay bricks and field tiles",1050,18459
2010,"Marton Brick & Tile Co Limited","Clay bricks and field tiles",35,615.3
2010,"Southtile Limited","Clay bricks and field tiles",43,755.94
2010,"Franko Roses New Zealand Limited","Cut roses",66,1160.28
2010,"Hsun Yao Chuang","Cut roses",10,175.8
2010,"Jeffrey Guy Ward","Cut roses",52,914.16
2010,"K. & L. Nurseries Limited","Cut roses",123,2162.34
2010,"Moffatts Flower Company Limited","Cut roses",374,6574.92
2010,"Paul Gregory Whitehead, Suzanne Marie Whitehead, John Hamilton Charles 
Falloon","Cut roses",13,228.54
2010,"Riverland Nurseries Limited","Cut roses",251,4412.58
2010,"Robb TC & RA","Cut roses",39,685.62
2010,"Royal Roses Limited","Cut roses",12,210.96
2010,"S & D Stocks","Cut roses",45,791.1
2010,"Shipherd Nurseries Limited","Cut roses",340,5977.2
2010,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",11,193.38
2010,"Van Berlo Limited","Cut roses",73,1283.34
2010,"Van Lier Nurseries Limited","Cut roses",373,6557.34
2010,"Wilhelmus Jacobus Maria Zwart and Avis Maree Zwart","Cut roses",32,562.56
2010,"Anchor Ethanol Limited","Ethanol",3654,64237.32
2010,"Appleby Fresh Limited","Fresh capsicums",49,861.42
2010,"Buller Supplies Limited","Fresh capsicums",5,87.9
2010,"Flat-Tac Capsicums Limited","Fresh capsicums",61,1072.38
2010,"Gourmet Mokai Limited","Fresh capsicums",650,11427
2010,"Gourmet Paprika Limited","Fresh capsicums",1789,31450.62
2010,"Harbour Head Growers Limited","Fresh capsicums",47,826.26
2010,"Homestead Produce Limited","Fresh capsicums",270,4746.6
2010,"J. S. Ewers Limited","Fresh capsicums",280,4922.4
2010,"Kipps' Patch Limited","Fresh capsicums",10,175.8
2010,"Poppas Peppers 2009 Limited","Fresh capsicums",69,1213.02
2010,"Sinai Hort Limited","Fresh capsicums",149,2619.42
2010,"Southern Paprika Limited","Fresh capsicums",2148,37761.84
2010,"The Chilli & Capsicum Company Limited","Fresh capsicums",19,334.02
2010,"Under Glass (Bombay) Limited","Fresh capsicums",61,1072.38
2010,"Under Glass (Karaka) Limited","Fresh capsicums",229,4025.82
2010,"Whakatane Growers Limited","Fresh capsicums",361,6346.38
2010,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",168,2953.44
2010,"Bin Wang & Ying Zhou","Fresh cucumbers",28,492.24
2010,"Exception Limited","Fresh cucumbers",781,13729.98
2010,"Green Harvest Growing Limited","Fresh cucumbers",168,2953.44
2010,"Hanna Hothouses Limited","Fresh cucumbers",86,1511.88
2010,"Hedger Greenhouse Limited","Fresh cucumbers",26,457.08
2010,"Hope Hot House Limited","Fresh cucumbers",28,492.24
2010,"Island Horticulture Limited","Fresh cucumbers",369,6487.02
2010,"J.S. Ewers Limited","Fresh cucumbers",203,3568.74
2010,"Karaka Park Produce Limited","Fresh cucumbers",197,3463.26
2010,"Parkgard Growers 2000 Limited","Fresh cucumbers",22,386.76
2010,"Pieter and Maria Anna van der Gulik","Fresh cucumbers",12,210.96
2010,"Quality Food Processors Limited","Fresh cucumbers",95,1670.1
2010,"R K & M D Sharma","Fresh cucumbers",444,7805.52
2010,"Under Glass (Bombay) Limited","Fresh cucumbers",774,13606.92
2010,"A J & J E Ivicevich","Fresh tomatoes",41,720.78
2010,"Castle Rock Orchard Limited","Fresh tomatoes",174,3058.92
2010,"Dale Calderwood Frost & Elizabeth Kay Frost","Fresh tomatoes",9,158.22
2010,"DE Bone & JA Duffy Partnership","Fresh tomatoes",4,70.32
2010,"Dong Hyuk  Cha & Soo Hwan Cha","Fresh tomatoes",19,334.02
2010,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh tomatoes",7,123.06
2010,"Faye Elizabeth Ormandy & Graeme Jaxon Ormandy","Fresh tomatoes",29,509.82
2010,"Gordon Edward Hackett","Fresh tomatoes",4,70.32
2010,"Gourmet Mokai Limited","Fresh tomatoes",443,7787.94
2010,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",1,17.58
2010,"Great Lake Tomatoes Limited","Fresh tomatoes",1038,18248.04
2010,"Greentop Company Limited","Fresh tomatoes",18,316.44
2010,"Han Jeon Kang, Jae Rang Kang","Fresh tomatoes",19,334.02
2010,"Hanna Hothouses Limited","Fresh tomatoes",146,2566.68
2010,"Il Kyu Ahn","Fresh tomatoes",9,158.22
2010,"J.S. Ewers Limited","Fresh tomatoes",1130,19865.4
2010,"Karamea Tomatoes Limited","Fresh tomatoes",146,2566.68
2010,"K F & H J Petrie","Fresh tomatoes",157,2760.06
2010,"Kingbridge Limited","Fresh tomatoes",19,334.02
2010,"Kyoung Lae Lee, Hye Young Jung","Fresh tomatoes",22,386.76
